Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntCoke,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Age,Age_Group,Gen_Group,DaysAsCustomer,NumChildren,NumAcceptedCmp,Total_Purchases,Total_Spending,Conversion_Rate
S1,Lajang,81741000.0,0,0,2013-06-16,75,249000,153000,940000,58000,134000,38000,0,6,6,7,2,0,0,0,0,0,0,0,42,Late Adult,Gen X,3393,0,0,19,1572000,0.0
S2,Bertunangan,71499000.0,0,1,2013-06-25,12,465000,25000,132000,136000,0,37000,2,8,3,13,4,0,0,0,0,0,0,0,51,Mature,Gen X,3384,1,0,26,795000,0.0
D3,Menikah,62466000.0,0,1,2014-01-15,13,129000,129000,259000,168000,121000,83000,5,6,3,12,4,0,0,0,0,0,0,0,52,Mature,Gen X,3180,1,0,26,889000,0.0
S3,Cerai,48799000.0,0,1,2013-11-05,9,174000,18000,81000,28000,6000,24000,3,3,2,7,3,0,0,0,0,0,0,0,59,Senior,Boomers,3251,1,0,15,331000,0.0
S3,Bertunangan,52157000.0,0,1,2014-06-07,48,189000,2000,29000,3000,2000,40000,2,3,2,5,4,0,0,0,0,0,0,0,72,Late Senior,Boomers,3037,1,0,12,265000,0.0
S1,Lajang,66565000.0,0,1,2012-12-05,80,747000,10000,161000,65000,40000,42000,4,4,2,9,8,0,0,0,0,0,0,0,60,Senior,Boomers,3586,1,0,19,1065000,0.0
S2,Bertunangan,29298000.0,1,1,2013-09-07,60,6000,0,2000,2000,0,1000,1,1,0,2,5,0,0,0,0,0,0,0,71,Late Senior,Boomers,3310,2,0,4,11000,0.0
S1,Lajang,47691000.0,0,1,2013-07-05,43,14000,0,3000,0,0,4000,1,1,0,2,6,0,0,0,0,0,0,0,43,Late Adult,Gen X,3374,1,0,4,21000,0.0
S1,Bertunangan,38200000.0,1,1,2012-12-07,19,12000,0,4000,0,0,1000,1,1,0,2,7,0,0,0,0,0,0,0,52,Mature,Gen X,3584,2,0,4,17000,0.0
S1,Menikah,44989000.0,0,1,2012-09-12,26,98000,0,106000,49000,10000,106000,5,5,1,5,6,0,0,0,0,0,0,0,48,Mature,Gen X,3670,1,0,16,369000,0.0
S3,Menikah,38443000.0,1,1,2014-01-27,58,32000,0,5000,0,0,1000,2,1,0,3,7,0,0,0,0,0,0,0,54,Mature,Gen X,3168,2,0,6,38000,0.0
D3,Lajang,38593000.0,1,0,2013-09-13,42,51000,12000,49000,17000,24000,24000,3,4,1,3,8,0,0,0,0,0,0,0,44,Late Adult,Gen X,3304,1,0,11,177000,0.0
S3,Bertunangan,64413000.0,0,1,2013-08-01,27,200000,5000,44000,0,10000,20000,1,5,1,5,5,0,0,0,0,0,0,0,52,Mature,Gen X,3347,1,0,12,279000,0.0
S2,Menikah,36959000.0,1,0,2013-10-02,56,25000,6000,25000,6000,0,0,2,2,0,3,8,0,0,0,0,0,0,0,41,Late Adult,Millennials,3285,1,0,7,62000,0.0
S3,Menikah,61996000.0,0,1,2013-01-31,27,1050000,12000,144000,0,0,24000,3,6,4,8,5,0,1,0,1,1,0,1,45,Mature,Gen X,3529,1,4,21,1230000,0.8
S1,Menikah,51287000.0,1,1,2014-04-01,10,117000,0,22000,13000,0,30000,3,4,1,3,7,0,0,0,0,0,0,0,54,Mature,Gen X,3104,2,0,11,182000,0.0
S1,Menikah,13260000.0,1,1,2013-08-23,48,9000,4000,17000,10000,2000,7000,4,3,0,3,8,0,0,0,0,0,0,0,52,Mature,Gen X,3325,2,0,10,49000,0.0
S3,Bertunangan,47472000.0,1,1,2013-09-16,39,56000,0,11000,0,0,8000,2,2,0,4,5,0,0,0,0,0,0,0,56,Senior,Gen X,3301,2,0,8,75000,0.0
S2,Bertunangan,54603000.0,1,1,2013-07-09,85,145000,13000,46000,17000,2000,4000,6,4,2,4,7,0,0,0,0,0,0,0,66,Late Senior,Boomers,3370,2,0,16,227000,0.0
S3,Menikah,45207000.0,1,1,2012-11-10,64,203000,0,10000,0,0,2000,5,3,1,6,6,0,1,0,0,0,0,0,48,Mature,Gen X,3611,2,1,15,215000,0.2
S1,Bertunangan,40689000.0,0,1,2013-03-18,69,270000,3000,27000,39000,6000,99000,7,7,1,5,8,0,0,0,0,0,0,0,71,Late Senior,Boomers,3483,1,0,20,444000,0.0
D3,Bertunangan,47821000.0,1,1,2013-10-20,54,9000,0,16000,6000,6000,10000,1,1,0,3,8,0,0,0,0,0,0,0,55,Senior,Gen X,3267,2,0,5,47000,0.0
S2,Menikah,27450000.0,0,0,2013-04-15,57,37000,12000,23000,8000,11000,52000,1,2,1,3,7,0,0,0,0,0,0,0,71,Late Senior,Boomers,3455,0,0,7,143000,0.0
S1,Bertunangan,39453000.0,1,0,2014-04-03,64,46000,0,7000,0,0,2000,2,2,0,3,6,0,0,0,0,0,0,0,39,Late Adult,Millennials,3102,1,0,7,55000,0.0
D3,Bertunangan,26850000.0,1,1,2014-04-18,10,31000,1000,13000,7000,2000,9000,4,2,1,4,4,0,0,0,0,0,0,0,51,Mature,Gen X,3087,2,0,11,63000,0.0
S1,Janda,79800000.0,0,0,2012-09-23,65,1060000,21000,530000,32000,0,224000,1,5,11,5,3,1,0,1,1,0,0,1,67,Late Senior,Boomers,3659,0,4,22,1867000,1.3
S2,Menikah,61794000.0,0,1,2013-09-14,74,264000,47000,188000,54000,47000,11000,2,4,4,10,2,0,0,0,0,0,0,0,61,Senior,Boomers,3303,1,0,20,611000,0.0
S1,Bertunangan,53863000.0,0,1,2014-05-17,4,399000,4000,30000,6000,4000,30000,3,7,1,7,7,0,1,0,0,0,0,0,67,Late Senior,Boomers,3058,1,1,18,473000,0.1
S1,Bertunangan,24221000.0,0,0,2013-08-20,94,8000,9000,9000,2000,5000,22000,1,1,1,3,4,0,0,0,0,0,0,0,63,Senior,Boomers,3328,0,0,6,55000,0.0
S3,Lajang,39684000.0,1,0,2012-10-12,41,19000,0,35000,6000,4000,17000,2,2,1,2,7,0,0,0,0,0,1,1,38,Late Adult,Millennials,3640,1,1,7,81000,0.1
S2,Menikah,92163000.0,0,0,2012-12-12,25,817000,183000,797000,106000,163000,20000,0,5,11,5,2,0,0,1,1,0,0,1,47,Mature,Gen X,3579,0,3,21,2086000,1.5
S2,Lajang,69882000.0,0,0,2013-11-10,94,292000,127000,635000,132000,127000,165000,1,3,7,9,1,0,0,0,0,0,0,0,57,Senior,Gen X,3246,0,0,20,1478000,0.0
S1,Bertunangan,33178000.0,1,0,2014-01-30,9,12000,6000,2000,11000,2000,16000,1,1,0,3,4,0,0,0,0,0,0,0,45,Mature,Gen X,3165,1,0,5,49000,0.0
S3,Menikah,59973000.0,0,0,2013-09-11,47,130000,30000,168000,20000,34000,0,1,3,4,7,1,0,0,0,0,0,0,0,50,Mature,Gen X,3306,0,0,15,382000,0.0
S2,Bertunangan,17459000.0,1,0,2013-09-19,12,6000,4000,16000,3000,10000,30000,3,3,1,2,7,0,0,0,0,0,0,1,47,Mature,Gen X,3298,1,1,9,69000,0.1
S1,Cerai,23910000.0,1,0,2012-10-26,80,16000,12000,18000,7000,1000,13000,1,2,0,3,7,0,0,0,0,0,0,0,53,Mature,Gen X,3626,1,0,6,67000,0.0
S2,Menikah,42169000.0,1,1,2013-10-19,20,19000,0,9000,0,0,2000,2,1,0,3,8,0,0,0,0,0,0,0,53,Mature,Gen X,3268,2,0,6,30000,0.0
D3,Menikah,26224000.0,1,0,2013-06-04,39,4000,7000,15000,13000,9000,15000,3,2,1,3,6,0,0,0,0,0,0,0,44,Late Adult,Gen X,3405,1,0,9,63000,0.0
S1,Bertunangan,31089000.0,1,0,2012-08-17,57,31000,3000,31000,2000,8000,4000,3,3,0,4,8,0,0,0,0,0,0,0,41,Late Adult,Millennials,3696,1,0,10,79000,0.0
S1,Lajang,30081000.0,0,1,2013-02-21,27,36000,0,2000,0,0,4000,1,1,0,3,7,0,0,0,0,0,0,0,61,Senior,Boomers,3508,1,0,5,42000,0.0
S1,Bertunangan,62807000.0,0,1,2012-08-31,83,526000,28000,135000,10000,21000,99000,3,5,3,12,5,0,0,0,0,0,0,0,62,Senior,Boomers,3682,1,0,23,819000,0.0
S1,Lajang,72906000.0,0,0,2013-09-17,79,400000,32000,519000,71000,75000,54000,1,3,4,9,1,0,0,0,0,0,0,0,67,Late Senior,Boomers,3300,0,0,17,1151000,0.0
S3,Menikah,61467000.0,0,2,2012-12-09,69,410000,16000,114000,0,5000,49000,3,5,2,10,5,0,0,0,0,0,0,0,74,Late Senior,Boomers,3582,2,0,20,594000,0.0
S2,Bertunangan,49618000.0,1,1,2013-01-26,77,80000,3000,26000,4000,2000,14000,4,3,1,3,7,0,0,0,0,0,0,0,56,Senior,Gen X,3534,2,0,11,129000,0.0
S2,Lajang,21888000.0,1,0,2012-12-29,15,88000,10000,46000,2000,3000,64000,4,5,1,2,10,0,0,0,0,0,0,1,36,Late Adult,Millennials,3562,1,1,12,213000,0.1
S1,Janda,42429000.0,0,1,2014-02-11,99,55000,0,6000,2000,0,4000,2,1,1,3,5,0,0,0,0,0,0,0,49,Mature,Gen X,3153,1,0,7,67000,0.0
S1,Cerai,26150000.0,2,1,2013-03-11,61,5000,1000,13000,3000,5000,1000,1,1,0,3,7,0,0,0,0,0,0,0,66,Late Senior,Boomers,3490,3,0,5,28000,0.0
SMA,Menikah,30801000.0,0,1,2012-10-26,23,8000,4000,5000,15000,2000,11000,2,1,0,3,7,0,0,0,0,0,0,0,47,Mature,Gen X,3626,1,0,6,45000,0.0
S1,Menikah,81168000.0,0,0,2014-05-07,84,410000,0,592000,147000,22000,22000,1,6,4,7,3,0,0,0,1,0,0,0,57,Senior,Gen X,3068,0,1,18,1193000,0.3
S2,Lajang,26877000.0,0,0,2013-08-19,74,101000,13000,76000,20000,18000,40000,2,3,1,6,6,0,0,0,0,0,0,0,53,Mature,Gen X,3329,0,0,12,268000,0.0
S2,Janda,45006000.0,0,0,2013-07-18,90,162000,25000,53000,16000,0,10000,1,3,1,7,3,0,0,0,0,0,0,0,78,Late Senior,Boomers,3361,0,0,12,266000,0.0
SMA,Menikah,18978000.0,1,0,2012-12-11,41,2000,8000,1000,4000,7000,15000,1,1,0,3,8,0,0,0,0,0,0,0,49,Mature,Gen X,3580,1,0,5,37000,0.0
S1,Menikah,22574000.0,2,1,2013-10-28,28,25000,0,8000,2000,0,2000,2,2,0,3,7,0,0,0,0,0,0,0,55,Senior,Gen X,3259,3,0,7,37000,0.0
S3,Lajang,48240000.0,0,0,2012-11-09,73,389000,91000,248000,64000,49000,41000,3,6,3,13,5,0,0,0,0,0,0,1,53,Mature,Gen X,3612,0,1,25,882000,0.2
S1,Menikah,45837000.0,1,1,2013-07-26,88,215000,13000,87000,17000,17000,24000,5,6,2,5,7,0,0,0,0,0,0,0,48,Mature,Gen X,3353,2,0,18,373000,0.0
S2,Lajang,35791000.0,2,1,2013-05-06,94,27000,0,5000,0,0,3000,2,1,0,3,8,0,0,0,0,0,0,0,57,Senior,Gen X,3434,3,0,6,35000,0.0
S3,Bertunangan,162397000.0,1,1,2013-06-03,31,85000,1000,16000,2000,1000,2000,0,0,0,1,1,0,0,0,0,0,0,0,46,Mature,Gen X,3406,2,0,1,107000,0.0
S1,Janda,54162000.0,1,1,2013-03-18,31,5000,6000,10000,6000,5000,10000,1,1,0,3,4,0,0,0,0,0,0,0,44,Late Adult,Gen X,3483,2,0,5,42000,0.0
S2,Menikah,30522000.0,0,1,2012-08-17,6,179000,8000,83000,19000,11000,26000,5,1,2,9,2,0,0,0,0,0,0,0,62,Senior,Boomers,3696,1,0,17,326000,0.0
S3,Menikah,54456000.0,0,1,2013-07-11,23,352000,0,27000,10000,0,15000,3,6,1,7,6,0,0,0,0,0,0,0,61,Senior,Boomers,3368,1,0,17,404000,0.0
S1,Lajang,31632000.0,0,0,2013-07-14,92,17000,8000,12000,11000,15000,32000,1,2,1,2,7,0,0,0,0,0,0,0,51,Mature,Gen X,3365,0,0,6,95000,0.0
S1,Janda,72298000.0,0,0,2014-03-10,52,625000,35000,169000,58000,17000,35000,1,4,3,6,1,0,1,1,0,0,0,0,73,Late Senior,Boomers,3126,0,2,14,939000,2.0
D3,Lajang,36975000.0,1,0,2013-12-28,50,10000,6000,11000,0,4000,2000,1,1,0,3,7,0,0,0,0,0,0,0,44,Late Adult,Gen X,3198,1,0,5,33000,0.0
D3,Menikah,72635000.0,0,0,2013-06-03,54,390000,22000,323000,104000,35000,107000,1,6,8,6,3,0,0,0,1,0,0,0,67,Late Senior,Boomers,3406,0,1,21,981000,0.3
S1,Menikah,13624000.0,1,0,2013-01-20,93,10000,2000,15000,2000,1000,6000,2,2,0,3,6,0,0,0,0,0,0,0,46,Mature,Gen X,3540,1,0,7,36000,0.0
S1,Lajang,84196000.0,0,1,2013-06-03,56,215000,63000,507000,231000,31000,190000,1,8,4,7,3,0,0,0,0,0,0,0,47,Mature,Gen X,3406,1,0,20,1237000,0.0
S1,Bertunangan,70971000.0,0,1,2012-09-21,28,1001000,17000,572000,93000,125000,17000,7,11,11,5,7,0,0,0,0,0,0,1,62,Senior,Boomers,3661,1,1,34,1825000,0.1
S3,Cerai,34487000.0,1,1,2012-09-06,94,19000,18000,33000,24000,1000,8000,3,3,0,3,9,0,0,0,0,0,0,0,45,Mature,Gen X,3676,2,0,9,103000,0.0
S1,Lajang,28769000.0,1,0,2012-12-18,76,41000,5000,129000,10000,3000,3000,3,4,1,4,9,0,0,0,0,0,0,0,45,Mature,Gen X,3573,1,0,12,191000,0.0
S3,Menikah,69084000.0,1,0,2013-11-19,43,1181000,107000,199000,39000,30000,30000,2,7,3,13,8,0,0,0,0,0,0,0,52,Mature,Gen X,3237,1,0,25,1586000,0.0
S3,Bertunangan,65488000.0,0,0,2014-06-13,46,603000,45000,207000,36000,18000,54000,1,3,4,6,1,0,0,0,0,0,0,0,64,Senior,Boomers,3031,0,0,14,963000,0.0
D3,Menikah,62466000.0,0,1,2014-01-15,13,129000,129000,259000,168000,121000,83000,5,6,3,12,4,0,0,0,0,0,0,0,52,Mature,Gen X,3180,1,0,26,889000,0.0
D3,Lajang,32218000.0,0,0,2014-02-15,27,10000,24000,15000,13000,1000,30000,1,2,1,3,7,1,0,0,0,0,0,1,62,Senior,Boomers,3149,0,2,7,93000,0.3
S1,Lajang,83917000.0,0,0,2013-04-18,12,514000,22000,732000,42000,198000,79000,1,6,7,7,3,0,0,0,0,0,0,1,49,Mature,Gen X,3452,0,1,21,1587000,0.3
S1,Cerai,46102000.0,2,1,2014-03-10,3,14000,0,1000,0,0,1000,1,1,0,2,7,0,0,0,0,0,0,0,60,Senior,Boomers,3126,3,0,4,16000,0.0
S1,Lajang,84574000.0,0,0,2013-06-04,72,387000,20000,713000,38000,54000,163000,1,9,11,11,5,0,0,0,0,0,0,0,70,Late Senior,Boomers,3405,0,0,32,1375000,0.0
S1,Menikah,56181000.0,0,1,2013-01-08,6,121000,103000,69000,8000,44000,48000,1,4,2,7,4,0,0,0,0,0,0,0,60,Senior,Boomers,3552,1,0,14,393000,0.0
S2,Cerai,63120000.0,0,1,2012-09-28,53,965000,69000,279000,54000,41000,69000,5,8,4,9,7,0,0,0,0,0,0,1,72,Late Senior,Boomers,3654,1,1,26,1477000,0.1
S1,Menikah,73691000.0,0,1,2013-11-06,58,707000,21000,250000,85000,43000,73000,2,6,2,8,2,1,0,0,0,0,0,0,51,Mature,Gen X,3250,1,1,18,1179000,0.5
S1,Bertunangan,63381000.0,0,1,2012-10-05,78,571000,50000,142000,33000,50000,159000,4,4,5,13,2,0,0,0,0,0,0,0,62,Senior,Boomers,3647,1,0,26,1005000,0.0
S3,Bertunangan,76140000.0,0,0,2014-05-13,57,586000,66000,653000,17000,0,26000,1,5,9,6,2,0,0,0,0,0,0,0,74,Late Senior,Boomers,3062,0,0,21,1348000,0.0
S3,Cerai,62859000.0,0,1,2012-12-30,37,1063000,89000,102000,16000,12000,25000,4,9,4,6,6,0,0,0,0,0,0,0,63,Senior,Boomers,3561,1,0,23,1307000,0.0
S1,Lajang,45906000.0,0,1,2013-05-07,20,305000,3000,27000,4000,3000,144000,2,5,4,4,5,1,0,0,0,0,0,0,58,Senior,Boomers,3433,1,1,15,486000,0.2
S2,Bertunangan,77632000.0,0,0,2013-03-10,73,1200000,105000,758000,0,42000,147000,1,4,2,6,2,0,1,1,0,0,0,1,75,Late Senior,Boomers,3491,0,3,13,2252000,1.5
S3,Menikah,46463000.0,1,1,2013-08-18,56,163000,2000,40000,8000,11000,11000,7,3,1,6,6,0,0,0,0,0,0,0,51,Mature,Gen X,3330,2,0,17,235000,0.0
S1,Bertunangan,105471000.0,0,0,2013-01-21,36,1009000,181000,104000,202000,21000,207000,0,9,8,13,3,0,0,1,1,0,0,1,52,Mature,Gen X,3539,0,3,30,1724000,1.0
S2,Cerai,55282000.0,1,0,2013-12-13,9,125000,6000,73000,8000,4000,19000,1,3,1,6,4,0,0,0,0,0,0,0,52,Mature,Gen X,3213,1,0,11,235000,0.0
S2,Menikah,78710000.0,0,1,2014-05-23,42,721000,0,152000,119000,50000,50000,3,7,6,12,4,0,0,0,0,0,0,0,45,Mature,Gen X,3052,1,0,28,1092000,0.0
S1,Bertunangan,66886000.0,0,1,2013-09-16,28,315000,4000,62000,41000,31000,146000,2,7,1,7,5,0,0,0,0,0,0,0,64,Senior,Boomers,3301,1,0,17,599000,0.0
S2,Lajang,98777000.0,0,0,2014-02-17,23,1000000,19000,711000,125000,115000,38000,0,4,6,9,1,0,1,0,0,0,0,0,62,Senior,Boomers,3147,0,1,19,2008000,1.0
S1,Bertunangan,29103000.0,1,0,2012-08-27,38,16000,0,17000,6000,3000,6000,2,1,0,3,9,0,0,0,0,0,0,0,37,Late Adult,Millennials,3686,1,0,6,48000,0.0
S1,Menikah,67445000.0,0,1,2012-08-12,63,757000,80000,217000,29000,80000,11000,5,9,6,12,6,0,0,0,0,0,0,0,48,Mature,Gen X,3701,1,0,32,1174000,0.0
S3,Bertunangan,50616000.0,0,1,2014-04-13,71,30000,2000,25000,0,1000,9000,1,1,1,4,2,0,0,0,0,0,0,0,72,Late Senior,Boomers,3092,1,0,7,67000,0.0
S1,Cerai,49431000.0,0,1,2012-08-03,9,219000,3000,100000,26000,0,17000,2,7,1,5,8,0,0,0,0,0,0,0,67,Late Senior,Boomers,3710,1,0,15,365000,0.0
S1,Cerai,153924000.0,0,0,2014-02-07,81,1000,1000,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,47,Mature,Gen X,3157,0,0,0,6000,0.0
S1,Bertunangan,61278000.0,0,1,2014-01-04,87,111000,3000,28000,2000,6000,15000,2,3,1,4,6,0,0,0,0,0,0,0,69,Late Senior,Boomers,3191,1,0,10,165000,0.0
D3,Bertunangan,26490000.0,0,0,2012-09-22,92,45000,47000,52000,21000,20000,25000,2,3,1,5,6,0,0,0,0,0,0,0,64,Senior,Boomers,3660,0,0,11,210000,0.0
S3,Bertunangan,73059000.0,0,1,2013-08-31,36,410000,112000,420000,0,82000,71000,1,9,3,13,4,0,0,0,0,0,0,0,75,Late Senior,Boomers,3317,1,0,26,1095000,0.0
S3,Lajang,46734000.0,1,2,2013-10-21,86,100000,1000,39000,6000,1000,76000,4,3,2,3,6,1,0,0,0,0,0,0,56,Senior,Gen X,3266,3,1,12,223000,0.2
S1,Bertunangan,56253000.0,0,1,2012-12-07,83,509000,0,65000,7000,11000,5000,4,7,2,9,6,0,0,0,0,0,0,0,59,Senior,Boomers,3584,1,0,22,597000,0.0
S1,Menikah,19986000.0,1,0,2013-11-14,74,3000,6000,5000,0,2000,6000,1,0,0,3,7,0,0,0,0,0,0,0,37,Late Adult,Millennials,3242,1,0,4,22000,0.0
S1,Janda,58330000.0,0,1,2013-12-25,87,445000,53000,213000,104000,98000,151000,1,6,4,13,4,0,0,0,0,0,0,0,47,Mature,Gen X,3201,1,0,24,1064000,0.0
SMA,Menikah,25965000.0,0,0,2012-09-07,29,2000,2000,11000,41000,7000,11000,1,2,0,3,8,0,0,0,0,0,0,0,42,Late Adult,Gen X,3675,0,0,6,74000,0.0
S2,Bertunangan,14661000.0,0,0,2013-01-01,88,4000,1000,11000,6000,2000,2000,1,1,0,3,6,0,0,0,0,0,0,0,66,Late Senior,Boomers,3559,0,0,5,26000,0.0
S1,Menikah,18690000.0,0,0,2012-12-28,77,6000,1000,7000,23000,4000,19000,1,1,1,2,8,0,0,0,0,0,0,0,63,Senior,Boomers,3563,0,0,5,60000,0.0
S3,Bertunangan,45068000.0,0,1,2013-05-16,25,14000,0,3000,0,0,3000,1,1,0,2,7,0,0,0,0,0,0,0,48,Mature,Gen X,3424,1,0,4,20000,0.0
SMA,Lajang,21063000.0,1,0,2013-09-25,34,1000,10000,11000,19000,3000,15000,2,2,0,3,6,0,0,0,0,0,0,0,35,Late Adult,Millennials,3292,1,0,7,59000,0.0
S3,Menikah,29187000.0,1,0,2013-05-09,43,26000,0,6000,0,0,2000,1,1,0,3,8,0,0,0,0,0,0,0,54,Mature,Gen X,3431,1,0,5,34000,0.0
D3,Menikah,54690000.0,1,1,2013-11-07,76,111000,16000,37000,7000,9000,18000,3,3,1,5,3,0,0,0,0,0,0,0,51,Mature,Gen X,3249,2,0,12,198000,0.0
S3,Menikah,59304000.0,0,1,2013-07-29,81,418000,61000,428000,80000,51000,10000,3,7,8,10,5,0,0,0,0,0,0,0,58,Senior,Boomers,3350,1,0,28,1048000,0.0
S2,Lajang,59247000.0,0,2,2013-11-08,87,327000,9000,122000,19000,14000,83000,5,5,2,9,6,0,0,0,0,0,0,0,60,Senior,Boomers,3248,2,0,21,574000,0.0
S1,Janda,66731000.0,0,1,2012-09-12,33,371000,159000,194000,58000,106000,141000,4,4,3,6,3,0,0,0,0,0,0,0,52,Mature,Gen X,3670,1,0,17,1029000,0.0
S1,Menikah,77353000.0,0,1,2013-12-16,38,275000,59000,107000,69000,101000,59000,2,6,4,8,4,0,0,0,0,0,0,0,42,Late Adult,Gen X,3210,1,0,20,670000,0.0
S3,Lajang,52614000.0,0,1,2012-12-01,63,789000,0,142000,12000,9000,38000,2,2,4,8,8,0,0,0,0,0,0,0,47,Mature,Gen X,3590,1,0,16,990000,0.0
S1,Menikah,26751000.0,2,0,2014-05-22,26,1000,1000,5000,0,3000,1000,1,1,0,2,8,0,0,0,0,0,0,0,48,Mature,Gen X,3053,2,0,4,11000,0.0
S3,Menikah,81300000.0,0,1,2012-10-30,17,1004000,12000,145000,32000,12000,36000,3,10,3,5,5,0,0,0,1,0,0,1,59,Senior,Boomers,3622,1,2,21,1241000,0.4
S1,Lajang,70337000.0,0,0,2014-01-02,75,187000,81000,149000,25000,43000,91000,1,2,2,12,1,0,0,0,0,0,0,0,43,Late Adult,Gen X,3193,0,0,17,576000,0.0
D3,Menikah,36145000.0,1,0,2013-06-16,13,56000,4000,76000,17000,1000,18000,4,4,1,3,9,1,0,0,0,0,0,1,37,Late Adult,Millennials,3393,1,2,12,172000,0.2
S3,Lajang,65295000.0,0,0,2013-12-23,19,365000,32000,117000,34000,110000,6000,1,3,3,13,2,0,0,0,0,0,0,0,42,Late Adult,Gen X,3203,0,0,20,664000,0.0
S1,Cerai,68118000.0,0,1,2013-10-18,51,595000,23000,123000,10000,23000,154000,2,8,9,4,6,0,0,0,0,0,0,0,59,Senior,Boomers,3269,1,0,23,928000,0.0
S1,Cerai,68743000.0,0,0,2012-08-30,81,1132000,134000,384000,175000,134000,115000,1,11,5,13,7,0,0,0,0,0,0,0,55,Senior,Gen X,3683,0,0,30,2074000,0.0
D3,Bertunangan,41039000.0,0,0,2013-07-25,32,34000,11000,137000,179000,61000,45000,1,8,1,5,8,0,0,0,0,0,0,0,40,Late Adult,Millennials,3354,0,0,15,467000,0.0
S1,Bertunangan,38946000.0,0,1,2013-10-24,84,116000,6000,82000,6000,6000,41000,2,3,1,6,5,0,0,0,0,0,0,0,67,Late Senior,Boomers,3263,1,0,12,257000,0.0
S1,Bertunangan,65777000.0,0,0,2013-12-19,87,565000,32000,435000,28000,32000,54000,1,2,8,6,1,0,0,0,0,0,0,0,55,Senior,Gen X,3207,0,0,17,1146000,0.0
S3,Cerai,66476000.0,0,1,2013-03-07,99,372000,18000,126000,47000,48000,78000,2,5,2,11,4,0,0,0,0,0,0,0,46,Mature,Gen X,3494,1,0,20,689000,0.0
S3,Lajang,86857000.0,0,0,2012-09-12,96,899000,102000,838000,133000,102000,40000,1,5,6,10,2,0,0,0,0,0,0,1,50,Mature,Gen X,3670,0,1,22,2114000,0.5
S3,Menikah,160803000.0,0,0,2012-08-04,21,55000,16000,1622000,17000,3000,4000,15,0,28,1,0,0,0,0,0,0,0,0,40,Late Adult,Millennials,3709,0,0,44,1717000,0.0
S3,Bertunangan,77845000.0,0,0,2014-05-16,40,760000,40000,480000,0,40000,26000,1,3,5,12,1,0,0,1,1,0,0,0,33,Adult,Millennials,3059,0,2,21,1346000,2.0
S3,Bertunangan,69476000.0,0,0,2013-09-30,3,260000,86000,559000,63000,9000,67000,1,4,6,4,2,0,0,0,0,0,0,0,53,Mature,Gen X,3287,0,0,15,1044000,0.0
S3,Cerai,50611000.0,0,1,2012-10-04,98,459000,0,24000,6000,0,4000,6,4,5,7,6,0,1,0,0,0,0,1,62,Senior,Boomers,3648,1,2,22,493000,0.3
S1,Lajang,61209000.0,0,0,2013-08-25,73,466000,0,224000,119000,49000,99000,1,5,3,4,2,0,0,0,0,0,0,0,52,Mature,Gen X,3323,0,0,13,957000,0.0
S2,Bertunangan,42315000.0,0,1,2013-07-12,90,67000,15000,80000,17000,11000,80000,3,1,4,4,3,0,0,0,0,0,0,0,64,Senior,Boomers,3367,1,0,12,270000,0.0
SMA,Bertunangan,13084000.0,0,0,2013-11-02,29,2000,0,7000,3000,7000,10000,1,1,0,3,6,0,0,0,0,0,0,0,70,Late Senior,Boomers,3254,0,0,5,29000,0.0
S2,Janda,47570000.0,1,1,2013-05-29,3,67000,1000,20000,0,2000,31000,3,2,2,2,7,0,0,0,0,0,0,1,73,Late Senior,Boomers,3411,2,1,9,121000,0.1
S2,Menikah,61923000.0,0,2,2013-07-26,94,92000,4000,18000,3000,3000,6000,1,2,1,4,3,0,0,0,0,0,0,0,61,Senior,Boomers,3353,2,0,8,126000,0.0
S1,Lajang,34824000.0,0,0,2014-03-26,65,4000,2000,11000,2000,0,4000,1,1,0,2,6,0,0,0,0,0,0,0,27,Adult,Millennials,3110,0,0,4,23000,0.0
S3,Lajang,26518000.0,1,1,2013-04-08,33,20000,1000,28000,3000,3000,2000,3,2,0,3,8,0,0,0,0,0,0,1,73,Late Senior,Boomers,3462,2,1,8,57000,0.1
S1,Lajang,45938000.0,0,0,2013-11-03,46,273000,11000,178000,62000,83000,29000,2,8,4,6,6,0,0,0,0,0,0,0,61,Senior,Boomers,3253,0,0,20,636000,0.0
S1,Bertunangan,78468000.0,0,0,2014-04-09,29,434000,22000,388000,104000,22000,34000,1,10,7,10,4,0,0,0,1,0,0,0,62,Senior,Boomers,3096,0,1,28,1004000,0.2
S1,Cerai,78901000.0,0,1,2013-09-17,99,321000,11000,309000,33000,26000,34000,3,9,3,5,4,0,0,0,0,0,0,0,49,Mature,Gen X,3300,1,0,20,734000,0.0
S1,Menikah,71427000.0,2,0,2014-03-12,26,212000,123000,177000,15000,64000,23000,2,8,2,8,4,0,0,0,0,0,0,0,44,Late Adult,Gen X,3124,2,0,20,614000,0.0
